group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.02361673414304999,0.02357289738601065,0.01
Mid-D,0.017813267813267863,0.011657660811541959,0.01
High-D,0.003261578604044413,0.015321401543796576,0.01
Overall,0.014861081197501624,0.01280911448262334,0.01
