group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.009615384615384637,0.05373634584304965,0.01
Mid-D,-0.012552301255230103,0.009935514860528238,0.01
High-D,-0.04184100418410042,-0.02971493104654277,0.01
Overall,-0.02186588921282795,0.011006860987839318,0.01
