method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,208.0,0.4807692307692308,0.3644485748544339,
Concat,Mid-D,239.0,0.606694560669456,0.51326369030589,
Concat,High-D,239.0,0.5857740585774058,0.4770603920955008,
Concat,Overall,686.0,0.5612244897959183,0.46031109809931986,
UncondAlign,Low-D,208.0,0.47115384615384615,0.41818492069748353,0.01
UncondAlign,Mid-D,239.0,0.5941422594142259,0.5231992051664183,0.01
UncondAlign,High-D,239.0,0.5439330543933054,0.447345461048958,0.01
UncondAlign,Overall,686.0,0.5393586005830904,0.4713179590871592,0.01
