group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.016129032258064557,0.06353030160281736,0.05
Mid-D,0.0,0.022801417017511094,0.05
High-D,0.04705882352941171,0.06007777270073772,0.05
Overall,0.013119533527696792,0.052417652964676986,0.05
