method,group,n,acc,macro_f1,lambda_align
Concat,High-D+Low-R,127.0,0.4645669291338583,0.3772902750328951,
Concat,High-D+High-R,128.0,0.5859375,0.4053089767375482,
UncondAlign,High-D+Low-R,127.0,0.5275590551181102,0.42529711375212226,0.05
UncondAlign,High-D+High-R,128.0,0.6171875,0.468684561203122,0.05
