method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,186.0,0.4731182795698925,0.3536031000819733,
Concat,Mid-D,245.0,0.6285714285714286,0.4828345467349617,
Concat,High-D,255.0,0.5254901960784314,0.42051557043130505,
Concat,Overall,686.0,0.5481049562682215,0.4241674060082234,
UncondAlign,Low-D,186.0,0.45698924731182794,0.4171334016847907,0.05
UncondAlign,Mid-D,245.0,0.6285714285714286,0.5056359637524728,0.05
UncondAlign,High-D,255.0,0.5725490196078431,0.48059334313204277,0.05
UncondAlign,Overall,686.0,0.5612244897959183,0.4765850589729004,0.05
