method,group,n,acc,macro_f1,lambda_align
Concat,High-D+Low-R,119.0,0.5546218487394958,0.4598518973518974,
Concat,High-D+High-R,120.0,0.6166666666666667,0.45447615631235566,
UncondAlign,High-D+Low-R,119.0,0.4789915966386555,0.42548289916710963,0.01
UncondAlign,High-D+High-R,120.0,0.6083333333333333,0.4404416839199448,0.01
