group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.07589285714285715,-0.017944777142056556,0.5
Mid-D,0.040000000000000036,-0.0670598380543132,0.5
High-D,-0.009433962264150941,-0.03262299763584792,0.5
Overall,0.036443148688046656,-0.03662440828928365,0.5
