method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1417.0,0.544107268877911,0.5285691097988998,
Concat,Mid-D,1657.0,0.5914302957151478,0.571819044747348,
Concat,High-D,1569.0,0.7049075844486934,0.7023221826694237,
Concat,Overall,4643.0,0.6153349127719147,0.6169062729086143,
UncondAlign,Low-D,1417.0,0.5405786873676782,0.5117030880275245,0.05
UncondAlign,Mid-D,1657.0,0.5835847917923959,0.5605528359638224,0.05
UncondAlign,High-D,1569.0,0.6947100063734863,0.6895763472120279,0.05
UncondAlign,Overall,4643.0,0.6080120611673487,0.6081434237092076,0.05
