method,group,n,acc,macro_f1,lambda_align
Concat,High-D+Low-R,784.0,0.6517857142857143,0.6433940800400428,
Concat,High-D+High-R,785.0,0.7579617834394905,0.7613677660584101,
UncondAlign,High-D+Low-R,784.0,0.6479591836734694,0.6386266489031892,0.05
UncondAlign,High-D+High-R,785.0,0.7414012738853503,0.7419093973719532,0.05
