group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.003528581510232831,-0.016866021771375306,0.05
Mid-D,-0.007845503922751962,-0.011266208783525578,0.05
High-D,-0.010197578075207048,-0.012745835457395827,0.05
Overall,-0.0073228516045659164,-0.00876284919940673,0.05
