group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.04205607476635509,0.027984251620771228,0.05
Mid-D,-0.015936254980079667,0.04329907509503117,0.05
High-D,0.027149321266968285,0.06707761615622959,0.05
Overall,-0.010204081632653073,0.04732693085844908,0.05
