method,group,n,acc,macro_f1,lambda_align
Concat,High-D+Low-R,110.0,0.38181818181818183,0.32197860256240923,
Concat,High-D+High-R,111.0,0.5765765765765766,0.41436932982148084,
UncondAlign,High-D+Low-R,110.0,0.41818181818181815,0.3962763302385944,0.05
UncondAlign,High-D+High-R,111.0,0.5945945945945946,0.433966033966034,0.05
