method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,214.0,0.5046728971962616,0.40750915750915756,
Concat,Mid-D,251.0,0.6414342629482072,0.49141347165663274,
Concat,High-D,221.0,0.4796380090497738,0.38998469897290705,
Concat,Overall,686.0,0.5466472303206997,0.43709584045002464,
UncondAlign,Low-D,214.0,0.46261682242990654,0.4354934091299288,0.05
UncondAlign,Mid-D,251.0,0.6254980079681275,0.5347125467516639,0.05
UncondAlign,High-D,221.0,0.5067873303167421,0.45706231512913664,0.05
UncondAlign,Overall,686.0,0.5364431486880467,0.4844227713084737,0.05
